repository_owner,repository_name
comatose,ubuntu-config
conal,ConsStream
conal,NumInstances
conal,ReStream
conal,shady-examples
conal,shady-render
conal,shady-tv
coproduct,blog-tools-snaplet
coproduct,snap-imageboard
coproduct,snaplet-blog-tools
copton,ocram
copumpkin,charm
coreyoconnor,bind-marshal
coreyoconnor,pandoc
coreyoconnor,pandoc-types
coreyoconnor,vty
coreyoconnor,yi
correl,xmonadcfg
corsis,splice
cpa,haskellcontracts
cpa,haskellcontracts-examples
cpennington,Stratification
cpennington,h4sh
cpennington,vacation-calendar
cpettitt,floh
cpettitt,tamien
crabtw,home-config
crankydillo,dev-tools
crclark,haskell-prop-logic
creswick,cabal-dev
creswick,github
creswick,pastepipe
crodjer,hakyll
crodjer,rohanjain.in
crshd,xmonad
csabahruska,GFXDemo
csabahruska,lc-dsl
cskau,nlpwp
cspollard,HJet
csstaub,X11-xft
csstaub,xmonad
csstaub,xmonad-contrib
cullina,Extractor
cutsea110,tut
cvb,hs-google-weather-api
cvb,hs-weather-api
cwu,datastructs-and-algos
cwu,dev-config
cwu,hraytrace
czers,jpp-interpreter
d-snp,SCTP-in-Haskell
d0,dotfiles
daapp,serialport
dag,happaste
dag,happstack-session
dag,kibr
dagit,haray
daijo,LearningTestsHaskell
dan-t,dcpu16
dan-t,layers
dancor,ansicolor
dancor,melang
danidiaz,haskell-sandbox
danidiaz,haskell-xanela-client
danieldk,alpino-tools
danieldk,approx-rand-test
danieldk,digest-pure
danieldk,tinker-hs
daniellandau,Johdatus-funktionaaliseen-ohjelmointiin
danieltahara,DTKV
danr,equinox
danr,halt
danr,hip
danr,nano-Agda
daoo,fretboarder
darcs-mirrors,Cabal
darkhelmet,99-lisp-problems
darkhelmet,efpug
darkhelmet,real-world-haskell
daryldudey,Euler-Haskell
dave4420,conduit
davean,hs-GeoIP
davedotg,hawkes
davesque,learn_you_a_haskell
davidbeckingsale,xmonad-config
davidbrazdil,config
davidlazar,halicore
davidlazar,process-extras
davorb,game_of_life
daxder,xmonad-config
dbaumann,SevenLanguages_ch8
dbp,digestive-functors
dbp,email-postmark
dccmx,haskell-euler
dcolish,purely-fun
dcollien,SpaceCraft
dcpu16,dcpu16-hs
deepakjois,blaze-html
deepakjois,blaze-markup
deepakjois,blaze-svg
deepakjois,diagrams-svg
deepakjois,hs-gchart
deepakjois,hs-logo
deepakjois,senna
deepakjois,website
deestan,plyply
def-lkb,zlib-enum
deggis,CV
deian,aeson
deian,base64-bytestring
deian,blaze-html
deian,dclabel
deian,gitstar
deian,gitstar-ssh
deian,hails
deian,hails-cjail
deian,hails-deploy
deian,iterIO
deian,iterio-server
deian,lio
deian,mitigator
deian,pandoc
deian,ssh
deiga,JFO2012
delta2323,msgpack-haskell
deltux,99_haskell_problems
deltux,crypto
devyn,aeosunth
dexgeh,getlog
dget,filehandling-test
dget,snap-core
dilawar,kansas-lava-iitb
dimituri,heartbeat
dindras,haskell-learning
distillation,benchmarks
distillation,distill
divipp,ActiveHs
djahandarie,iproute
dlahoti,haskell-go
dlahoti,tfoo
dmalikov,HaCh
dmalikov,dotfiles
dmalikov,gentoo-haskell
dmalikov,goa
dmalikov,libmocp
dmatveev,yandex-geocoder
dmatveev,yellow
dmbarbour,Sirea
dmbarbour,control-make
dmedvinsky,heuler
dmedvinsky,xmonadrc
dmpots,fibon
dmpots,fibon-benchmarks
dmpots,fibon-config
dmw,ApacheLogRev
dmw,prjeuler
dneun,hevolisa
dnordberg,devsite
dobrypd,Learning-Haskell
doitian,xmonad-starter-kit
dom96,SimpleIRC
dominiquedevriese,memoize
dominiquedevriese,yi
donatello,TicTacToe
donyoun,RateUpdater
dplummer,dotfiles
dpp,LispHaskellIPad
dradetsky,dot-xmonad
dradtke,Code-Jam
drchaos,ws_uploader
drd,ls-hs
dreixel,syb
drewfrank,dotfiles
dropbox,dropbox-sdk-haskell
dropbox,image-search
drull95,HOpenCV
drull95,alex
dsouza,hoauth
dsouza,sssfs
dstruthers,Agate
dtchepak,learnhaskell
dterei,Hackager
dterei,ghc
dterei,hackage2
dtyler,haskell-explorations
duranain,xmonad-config
dustinrohde,TicTacToe
dwe11er,xmonad_hs
dzhurley,PreBot
dzhus,DSMC
dzhus,aeson-pretty
dzhus,dsmc
dzhus,dsmc-tools
dzhus,gentoo-haskell
dzhus,snap-auth-cli
dzhus,snaplet-redis
dzhus,snaplet-redson
eakron,variadic.me
eamsden,pushbasedFRP
eataix,COMP1100
ebenTill,Project-Euler-Problems
edmund-huber,Noodles
edmund-huber,Warpgate
edmund-huber,xmonad-config
edwinb,EpiVM
edwinb,Idris-dev
edwinb,Idris-old
eegg,cv
eegg,style
eeight,ejudge-report
eevee,project-euler
egan,Dotfiles
egisatoshi,egison
egisatoshi,nagao
egonSchiele,HandsomeSoup
egonSchiele,blaze-html-contrib
egonSchiele,utils
ehamberg,simpleea
ehird,acme-strfry
ehird,reflection
ehird,semigroups
ehird,tagged
eiel,Programming-Contest-Challange-Book-in-Haskell
ekmett,ad
ekmett,adjunctions
