repository_owner,repository_name
arieldelafuente,gitshare
arjanblokzijl,scala-conduits
arktekk,atom-client
arktekk,sbt-aether-deploy
arktekk,sbt-cxf
arktekk,sbt-cxf-example
arktekk,scala-atom
arktekk,uri-template
arnfred,Papers
arnihermann,Play20
arnolddevos,JettyS
arosh,Botchi-now
arosh,unfiltered
arosien,sniff
artem-sh,top-artist
arturaz,AS3-Stacktracer
asami,goldenport
asami,goldenport-record
asami,simplemodeler
asami,smartdox
asami,smartdoxprocessor
aschuck,scala_school
aselab,Squeryl
aselab,scala-activerecord
aselab,scala-activerecord-sample
ashewring,sbt-tycho
asib,asib
asinghal,SlateIDE
aslakjo,10k-problem
aslakjo,Bowler
astavonin,ScalaTests
astubbs,akka
atemerev,FXCore
atemerev,todo
atemerev,wontfix
atextor,sii
athieriot,Play20
atl-ecosystem,scalaz
atljeremy,jeremyfox
atljeremy,pushservice
atoll2,Pm-Wars
aturon,ChemistrySet
aturon,ChemistrySetBench
aturon,ScalaBench
avalade,logback-hoptoad
avisi,techday-playframework
avrecko,akka
awkay,framework
axel22,Ctries
axel22,ScalaDays2011-PC
axel22,lms-mirror
axel22,scala-github
axel22,scalapool
axiak,scala-css-parser
ayosec,scala_dojo
ayush,swagger-core
ayush,swagger-play2
azavea,geotrellis
azavea,numeric
aztek,porterstemmer
azymnis,scalding
bagofcode,scala
balagez,Benchmark.scala
balazsbalazs,ProjectEuler
baloo,Play20
bamihaesie,Hello
banshee,AndroidProguardScala
banshee,ScalaAndroidGpsSample
bantonsson,webwords
barakk,tweetminder
barciszewski,TMX-S-Parser
barneyii,scala-redis
barrywark,ScalaSwingTreeWrapper
barrywark,ovation-xls-importer
bartschuller,Play20
bartschuller,scalaz-validation-example
batkins,Play20
bbiletskyy,particlez
bblfish,Play20
bbrownz,scalatron
bbucko,scaladium
bchazalet,JPAModel
bcourtine,Sudoku
bdarfler,sbt-scct
bdarfler,seqBench
bdas,ProgInScala
bdunklau,LittleBlueBird
behaghel,tumblishr
ben-biddington,Coriander.OAuth
benb,modiphy
benburton,goose-log
benhumphreys,sciscala
benjaminparker,lift-sbt-template
benlings,scala-guice
benmccann,Play20
benmmurphy,java_sprockets
benmmurphy,netty_spdy_example
bennytheshap,netfauxgo
benoit-ponsero,Play20
beobal,kafka
berinle,play-lombok
berngp,swagger-core
betehess,banana-rdf
betehess,pimp-my-rdf
bethard,literature-search
bhameyie,ProjectEulerScala
bheap,scala-utils
bheap,silk
bifflabs,aws-transfer-manager-test
bigtoast,sbt-liquibase
bigtoast,sbt-liquibase-example
bigtop,bigtop
bigwheels16,Tyrbot
binedisk,blueeyes-jetty-extjs.g8
bioscala,bioscala
bit-man,MiCar
bjartek,Sermo
bjartek,computer-database-mongo
bjartek,computer-database-simple
bjrke,euler.in.scala
bk1,scala-finite-fields
bkro961,AshBryanShadiPeter
blever,scoobi
blkbsstt,type0grammar
